lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Durango,7
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Durango,10
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Durango,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,39
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,25
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,13
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,9
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,13
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),México Oriente,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,44
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,28
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,10
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,7
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,11
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),México Poniente,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,50
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,8
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,9
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,7
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Guanajuato,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,38
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,41
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,8
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,3
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,10
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Guerrero,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,49
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,8
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,7
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,8
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Hidalgo,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,50
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,26
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,9
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,5
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,10
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Jalisco,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,35
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,30
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,16
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,7
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,12
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Michoacán,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,55
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,26
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,10
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,3
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,5
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Morelos,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,46
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,31
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,10
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,0
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,13
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Nayarit,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,49
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,25
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,10
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,8
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,9
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Nuevo León,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,54
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,21
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,9
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,8
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,7
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Oaxaca,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,44
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,28
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,11
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,9
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,8
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Puebla,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,49
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,29
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,7
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,5
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,9
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Querétaro,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,40
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,22
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,12
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,10
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,17
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Quintana Roo,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,47
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,9
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,7
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,10
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),San Luis Potosí,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,51
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,22
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,8
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,5
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,14
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Sinaloa,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,40
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,31
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,9
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,11
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,10
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Sonora,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,40
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,35
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,7
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,10
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,8
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Tabasco,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,45
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,26
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,8
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,9
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,12
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Tamaulipas,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,33
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,6
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,13
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,21
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Tlaxcala,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,34
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,27
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,14
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,12
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,13
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Norte,0
1 a 15 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,1,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,46
16 a 30 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,2,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,26
31 a 45 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,3,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,11
46 a 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,4,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,5
Más de 60 minutos,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,5,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,13
No sabe/No responde,tempcita_2_x,¿Cuánto tiempo esperó desde que entregó su cartilla de salud a la asistente médica hasta que recibió consulta?,9999999,Órgano de Operación Administrativa Desconcentrado (OOAD),Veracruz Sur,0
